account_id,owner_client_id,owner_disp_id,num_acct_users,owner_birth_date,statement_freq,card_type,card_issue_date,acct_start_date,district_id,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16
14,19,19,1,1942-12-28,POPLATEK MESICNE,classic,1998-03-13,1996-11-27,47,Pardubice,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.5,1.81,111,6079.0,5410
15,20,20,1,1979-01-04,POPLATEK MESICNE,,,1993-10-02,70,Karvina,north Moravia,285387,0,2,8,5,7,89.9,10177,6.6,7.75,81,9878.0,10108
16,21,21,1,1952-10-29,POPLATEK MESICNE,,,1997-09-23,12,Pribram,central Bohemia,107870,84,29,6,1,6,58.0,8754,3.8,4.31,137,3804.0,3868
17,22,22,2,1969-10-11,POPLATEK MESICNE,,,1997-01-08,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
18,24,24,1,1939-07-29,POPLATEK TYDNE,,,1993-05-26,43,Hradec Kralove,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.7,2.5,125,4085.0,3891
19,25,25,1,1939-04-23,POPLATEK MESICNE,,,1995-04-07,21,Tabor,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.5,2.07,123,2299.0,2354
20,26,26,1,1969-04-20,POPLATEK MESICNE,,,1996-08-24,74,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.7,5.44,100,18782.0,18347
21,27,27,1,1966-03-26,POPLATEK MESICNE,,,1997-12-06,54,Brno - mesto,south Moravia,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721.0,18696
22,28,28,1,1945-09-29,POPLATEK MESICNE,,,1994-03-23,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
23,29,29,1,1951-09-11,POPLATEK MESICNE,,,1993-05-22,30,Sokolov,west Bohemia,94812,15,13,8,2,10,81.8,9650,3.3,3.67,100,2985.0,2804
24,30,30,1,1957-10-09,POPLATEK MESICNE,,,1996-12-05,74,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.7,5.44,100,18782.0,18347
25,31,31,1,1962-02-09,POPLATEK MESICNE,,,1996-07-28,68,Frydek - Mistek,north Moravia,228848,15,40,18,2,6,57.2,9893,4.0,4.72,96,5623.0,5887
26,32,32,1,1980-07-28,POPLATEK MESICNE,,,1993-08-08,52,Usti nad Orlici,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.5,3.49,108,2564.0,2799
27,33,33,1,1948-12-04,POPLATEK MESICNE,,,1993-09-26,73,Opava,north Moravia,182027,17,49,12,2,7,56.4,8746,3.3,3.74,90,4355.0,4433
29,36,36,2,1978-07-17,POPLATEK MESICNE,,,1994-11-24,7,Melnik,central Bohemia,94725,38,28,1,3,6,63.4,9920,2.2,2.87,130,4289.0,4846
30,38,38,1,1973-07-23,POPLATEK MESICNE,,,1995-03-04,36,Liberec,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.3,4.28,131,5796.0,6132
31,39,39,1,1968-01-25,POPLATEK MESICNE,,,1994-04-27,68,Frydek - Mistek,north Moravia,228848,15,40,18,2,6,57.2,9893,4.0,4.72,96,5623.0,5887
32,40,40,1,1957-01-22,POPLATEK MESICNE,,,1995-08-28,5,Kolin,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.8,4.43,118,2616.0,3040
33,41,41,1,1968-08-27,POPLATEK MESICNE,gold,1995-09-03,1993-08-26,22,Domazlice,west Bohemia,58400,65,16,4,1,6,52.4,8620,1.1,1.25,100,1089.0,1117
34,42,42,1,1935-08-17,POPLATEK TYDNE,classic,1998-11-26,1993-09-17,67,Bruntal,north Moravia,106054,38,25,6,2,6,63.1,8110,5.7,6.55,109,3244.0,3079
35,43,43,1,1920-10-28,POPLATEK MESICNE,,,1993-07-07,75,Prerov,north Moravia,138032,67,30,4,2,5,64.6,8819,5.3,5.66,99,4063.0,4505
36,44,44,1,1977-01-11,POPLATEK MESICNE,,,1993-07-01,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
37,45,45,1,1952-08-26,POPLATEK MESICNE,,,1997-08-18,20,Strakonice,south Bohemia,70646,94,14,3,1,4,58.4,8547,2.6,3.64,120,1563.0,1542
38,46,46,1,1940-01-30,POPLATEK TYDNE,,,1997-08-08,19,Prachatice,south Bohemia,51428,50,11,3,1,4,52.7,8402,3.1,3.98,120,999.0,1099
39,47,47,1,1934-07-14,POPLATEK MESICNE,,,1993-09-22,36,Liberec,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.3,4.28,131,5796.0,6132
40,48,48,1,1940-02-09,POPLATEK MESICNE,,,1993-10-25,64,Zlin,south Moravia,197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484.0,4265
41,49,49,1,1959-05-11,POPLATEK MESICNE,,,1997-08-02,72,Olomouc,north Moravia,226122,32,50,7,4,4,62.6,8994,3.8,4.79,110,9672.0,9208
42,50,50,1,1978-07-30,POPLATEK MESICNE,,,1996-08-16,39,Most,north Bohemia,119895,17,4,3,2,4,89.9,10446,7.3,9.4,90,4947.0,4743
43,51,51,1,1979-12-02,POPLATEK MESICNE,junior,1995-04-24,1994-06-12,36,Liberec,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.3,4.28,131,5796.0,6132
44,52,52,1,1924-12-12,POPLATEK MESICNE,,,1993-05-10,32,Ceska Lipa,north Bohemia,105058,32,19,7,2,10,81.0,9272,2.8,3.22,118,4340.0,4505
45,53,53,1,1977-05-05,POPLATEK MESICNE,,,1997-09-02,64,Zlin,south Moravia,197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484.0,4265
47,55,55,1,1948-09-18,POPLATEK MESICNE,,,1993-08-08,45,Jicin,east Bohemia,77917,85,19,6,1,5,53.5,8390,2.2,2.89,132,2080.0,2122
48,56,56,2,1960-03-31,POPLATEK MESICNE,classic,1998-06-11,1996-11-17,21,Tabor,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.5,2.07,123,2299.0,2354
49,58,58,1,1927-04-29,POPLATEK MESICNE,,,1997-04-06,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
50,59,59,1,1957-02-18,POPLATEK MESICNE,,,1994-05-06,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
51,60,60,1,1980-02-19,POPLATEK MESICNE,junior,1998-05-20,1996-05-11,67,Bruntal,north Moravia,106054,38,25,6,2,6,63.1,8110,5.7,6.55,109,3244.0,3079
52,61,61,1,1948-08-06,POPLATEK MESICNE,,,1997-01-29,16,Jindrichuv Hradec,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.1,1.54,107,1874.0,1913
53,62,62,1,1932-12-08,POPLATEK MESICNE,,,1995-06-07,77,Vsetin,north Moravia,148545,8,35,12,3,4,53.5,8909,4.0,5.56,113,3460.0,3590
54,63,63,1,1959-06-04,POPLATEK MESICNE,,,1995-05-02,4,Kladno,central Bohemia,149893,63,29,6,2,6,67.4,9753,4.6,5.05,109,5244.0,5892
55,64,64,1,1926-04-22,POPLATEK MESICNE,,,1996-02-19,20,Strakonice,south Bohemia,70646,94,14,3,1,4,58.4,8547,2.6,3.64,120,1563.0,1542
56,65,65,1,1943-05-27,POPLATEK MESICNE,,,1994-05-16,50,Svitavy,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.8,5.45,94,2123.0,2134
57,66,66,1,1951-11-10,POPLATEK MESICNE,,,1995-05-21,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
58,67,67,1,1932-11-11,POPLATEK MESICNE,,,1996-08-23,29,Rokycany,west Bohemia,45714,52,10,5,1,6,55.6,8843,2.8,3.6,113,818.0,888
59,68,68,1,1946-12-14,POPLATEK MESICNE,,,1994-03-27,43,Hradec Kralove,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.7,2.5,125,4085.0,3891
61,70,70,2,1925-12-22,POPLATEK MESICNE,,,1993-12-11,70,Karvina,north Moravia,285387,0,2,8,5,7,89.9,10177,6.6,7.75,81,9878.0,10108
62,72,72,1,1923-01-13,POPLATEK MESICNE,,,1993-03-28,47,Pardubice,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.5,1.81,111,6079.0,5410
63,73,73,2,1924-02-20,POPLATEK MESICNE,,,1996-11-16,22,Domazlice,west Bohemia,58400,65,16,4,1,6,52.4,8620,1.1,1.25,100,1089.0,1117
64,75,75,1,1977-09-19,POPLATEK MESICNE,,,1997-03-11,64,Zlin,south Moravia,197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484.0,4265
65,76,76,1,1967-10-01,POPLATEK MESICNE,classic,1997-10-25,1996-10-29,36,Liberec,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.3,4.28,131,5796.0,6132
66,77,77,1,1956-02-18,POPLATEK PO OBRATU,classic,1996-12-07,1993-12-03,48,Rychnov nad Kneznou,east Bohemia,78955,50,24,8,1,9,59.0,9060,1.7,2.44,124,1655.0,1717
67,78,78,1,1944-06-13,POPLATEK MESICNE,,,1994-10-19,16,Jindrichuv Hradec,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.1,1.54,107,1874.0,1913
68,79,79,1,1969-03-10,POPLATEK PO OBRATU,gold,1997-10-25,1994-12-20,37,Litomerice,north Bohemia,114006,71,26,6,2,9,62.3,9065,4.4,5.39,123,4147.0,4166
69,80,80,1,1979-02-25,POPLATEK MESICNE,,,1996-01-12,64,Zlin,south Moravia,197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484.0,4265
70,81,81,2,1976-04-29,POPLATEK MESICNE,,,1995-02-18,8,Mlada Boleslav,central Bohemia,112065,95,19,7,1,8,69.4,11277,1.2,1.44,127,5179.0,4987
71,83,83,2,1978-12-25,POPLATEK MESICNE,junior,1996-09-11,1994-03-05,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
72,85,85,2,1961-08-27,POPLATEK TYDNE,,,1996-06-20,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
73,87,87,1,1946-11-17,POPLATEK MESICNE,classic,1994-06-29,1993-11-08,72,Olomouc,north Moravia,226122,32,50,7,4,4,62.6,8994,3.8,4.79,110,9672.0,9208
75,89,89,1,1951-05-05,POPLATEK MESICNE,,,1995-08-13,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
76,90,90,1,1975-08-17,POPLATEK MESICNE,,,1996-05-16,52,Usti nad Orlici,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.5,3.49,108,2564.0,2799
77,91,91,1,1940-08-07,POPLATEK MESICNE,,,1996-11-19,63,Vyskov,south Moravia,86513,38,36,5,1,5,50.5,8288,3.7,4.52,110,1562.0,1460
78,92,92,1,1966-06-12,POPLATEK MESICNE,,,1993-07-07,74,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.7,5.44,100,18782.0,18347
79,93,93,1,1925-02-16,POPLATEK MESICNE,,,1996-11-29,3,Beroun,central Bohemia,75232,55,26,4,1,5,41.7,8980,1.9,2.21,111,2824.0,2813
80,94,94,2,1947-09-09,POPLATEK MESICNE,,,1995-09-27,43,Hradec Kralove,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.7,2.5,125,4085.0,3891
81,96,96,1,1972-02-29,POPLATEK MESICNE,,,1996-07-18,74,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.7,5.44,100,18782.0,18347
82,97,97,1,1965-11-28,POPLATEK MESICNE,,,1994-05-03,26,Plzen - mesto,west Bohemia,170449,0,0,0,1,1,100.0,10787,2.6,3.09,131,6041.0,6261
83,98,98,2,1973-05-04,POPLATEK MESICNE,,,1993-04-16,26,Plzen - mesto,west Bohemia,170449,0,0,0,1,1,100.0,10787,2.6,3.09,131,6041.0,6261
84,100,100,1,1942-08-11,POPLATEK PO OBRATU,,,1995-12-25,44,Chrudim,east Bohemia,105606,77,26,7,2,7,53.0,8254,2.7,3.76,97,2166.0,2325
85,101,101,1,1943-01-23,POPLATEK MESICNE,,,1997-03-23,68,Frydek - Mistek,north Moravia,228848,15,40,18,2,6,57.2,9893,4.0,4.72,96,5623.0,5887
86,102,102,2,1958-09-10,POPLATEK MESICNE,,,1993-03-07,54,Brno - mesto,south Moravia,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721.0,18696
88,105,105,1,1980-05-26,POPLATEK MESICNE,,,1996-07-03,31,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.5,4.2,108,1328.0,1452
89,106,106,1,1968-12-30,POPLATEK MESICNE,,,1997-09-25,68,Frydek - Mistek,north Moravia,228848,15,40,18,2,6,57.2,9893,4.0,4.72,96,5623.0,5887
90,107,107,1,1972-06-23,POPLATEK MESICNE,,,1994-07-13,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
91,108,108,1,1963-09-13,POPLATEK MESICNE,,,1996-11-06,17,Pelhrimov,south Bohemia,74062,99,15,4,2,7,61.4,8114,2.3,2.62,119,1003.0,1181
93,110,110,1,1967-04-13,POPLATEK MESICNE,,,1996-06-12,2,Benesov,central Bohemia,88884,80,26,6,2,5,46.7,8507,1.6,1.85,132,2159.0,2674
95,112,112,2,1935-01-25,POPLATEK MESICNE,classic,1996-02-17,1995-03-30,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
96,114,114,2,1969-06-24,POPLATEK MESICNE,classic,1995-03-05,1993-02-18,68,Frydek - Mistek,north Moravia,228848,15,40,18,2,6,57.2,9893,4.0,4.72,96,5623.0,5887
97,116,116,2,1942-01-28,POPLATEK MESICNE,classic,1998-06-23,1996-05-05,74,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.7,5.44,100,18782.0,18347
98,118,118,2,1922-07-19,POPLATEK MESICNE,,,1997-05-02,55,Brno - venkov,south Moravia,157042,49,70,18,0,9,33.9,8743,1.8,2.43,111,3659.0,3894
99,120,120,1,1976-05-10,POPLATEK MESICNE,,,1995-06-27,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
100,121,121,1,1978-10-29,POPLATEK MESICNE,,,1993-12-28,41,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.3,4.48,114,6445.0,5471
101,122,122,1,1963-11-13,POPLATEK MESICNE,,,1996-04-16,35,Jablonec n. Nisou,north Bohemia,88768,10,18,5,1,7,80.5,8867,1.0,1.21,130,3384.0,3620
102,123,123,1,1969-02-12,POPLATEK MESICNE,,,1993-10-16,11,Praha - zapad,central Bohemia,75637,35,36,9,0,7,36.5,9622,0.4,0.59,154,3475.0,3529
103,124,124,1,1967-09-21,POPLATEK MESICNE,,,1996-03-10,44,Chrudim,east Bohemia,105606,77,26,7,2,7,53.0,8254,2.7,3.76,97,2166.0,2325
104,125,125,2,1936-10-31,POPLATEK MESICNE,,,1993-04-15,37,Litomerice,north Bohemia,114006,71,26,6,2,9,62.3,9065,4.4,5.39,123,4147.0,4166
105,127,127,1,1950-12-27,POPLATEK MESICNE,classic,1998-06-07,1997-07-10,21,Tabor,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.5,2.07,123,2299.0,2354
106,128,128,1,1973-04-04,POPLATEK MESICNE,classic,1995-08-25,1994-11-27,63,Vyskov,south Moravia,86513,38,36,5,1,5,50.5,8288,3.7,4.52,110,1562.0,1460
107,129,129,1,1947-05-31,POPLATEK MESICNE,,,1993-11-05,64,Zlin,south Moravia,197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484.0,4265
108,130,130,1,1942-02-14,POPLATEK MESICNE,classic,1997-09-09,1995-03-10,53,Blansko,south Moravia,107911,88,33,6,2,7,50.9,8240,2.5,3.56,99,1850.0,1903
109,131,131,1,1977-01-31,POPLATEK MESICNE,classic,1998-12-02,1997-04-20,53,Blansko,south Moravia,107911,88,33,6,2,7,50.9,8240,2.5,3.56,99,1850.0,1903
110,132,132,1,1953-01-26,POPLATEK MESICNE,classic,1998-02-26,1996-07-17,36,Liberec,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.3,4.28,131,5796.0,6132
112,134,134,2,1932-01-18,POPLATEK MESICNE,,,1993-03-12,6,Kutna Hora,central Bohemia,77963,60,23,4,2,4,51.5,8546,2.9,4.02,126,2640.0,3120
113,136,136,1,1921-01-26,POPLATEK MESICNE,,,1996-07-22,55,Brno - venkov,south Moravia,157042,49,70,18,0,9,33.9,8743,1.8,2.43,111,3659.0,3894
114,137,137,1,1923-09-14,POPLATEK MESICNE,,,1997-03-14,60,Prostejov,south Moravia,110643,49,41,4,1,4,51.9,8441,3.4,4.48,115,1879.0,2252
115,138,138,1,1972-10-21,POPLATEK MESICNE,classic,1997-01-11,1993-03-19,68,Frydek - Mistek,north Moravia,228848,15,40,18,2,6,57.2,9893,4.0,4.72,96,5623.0,5887
116,139,139,2,1959-07-25,POPLATEK MESICNE,,,1996-03-21,8,Mlada Boleslav,central Bohemia,112065,95,19,7,1,8,69.4,11277,1.2,1.44,127,5179.0,4987
117,141,141,1,1925-11-02,POPLATEK MESICNE,,,1993-09-05,31,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.5,4.2,108,1328.0,1452
118,142,142,1,1937-06-21,POPLATEK MESICNE,,,1997-09-18,68,Frydek - Mistek,north Moravia,228848,15,40,18,2,6,57.2,9893,4.0,4.72,96,5623.0,5887
119,143,143,1,1978-07-09,POPLATEK MESICNE,,,1993-05-25,27,Plzen - jih,west Bohemia,67298,71,19,10,0,7,43.8,8561,0.6,1.29,110,1029.0,1127
120,144,144,1,1958-12-06,POPLATEK TYDNE,,,1995-06-16,65,Znojmo,south Moravia,114200,101,41,4,1,4,43.7,8403,5.7,5.72,105,2157.0,2718
121,145,145,1,1978-02-14,POPLATEK MESICNE,,,1997-10-11,55,Brno - venkov,south Moravia,157042,49,70,18,0,9,33.9,8743,1.8,2.43,111,3659.0,3894
122,146,146,1,1961-12-19,POPLATEK MESICNE,classic,1998-10-03,1996-10-30,31,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.5,4.2,108,1328.0,1452
123,147,147,2,1933-11-02,POPLATEK MESICNE,,,1993-03-13,21,Tabor,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.5,2.07,123,2299.0,2354
124,149,149,1,1948-06-27,POPLATEK MESICNE,,,1997-12-28,55,Brno - venkov,south Moravia,157042,49,70,18,0,9,33.9,8743,1.8,2.43,111,3659.0,3894
125,150,150,1,1980-09-27,POPLATEK PO OBRATU,,,1996-09-07,2,Benesov,central Bohemia,88884,80,26,6,2,5,46.7,8507,1.6,1.85,132,2159.0,2674
126,151,151,1,1971-09-23,POPLATEK MESICNE,,,1993-10-23,5,Kolin,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.8,4.43,118,2616.0,3040
127,152,152,1,1945-12-02,POPLATEK MESICNE,,,1994-02-02,29,Rokycany,west Bohemia,45714,52,10,5,1,6,55.6,8843,2.8,3.6,113,818.0,888
128,153,153,1,1981-02-12,POPLATEK MESICNE,junior,1996-08-05,1993-02-19,2,Benesov,central Bohemia,88884,80,26,6,2,5,46.7,8507,1.6,1.85,132,2159.0,2674
129,154,154,2,1933-08-27,POPLATEK MESICNE,,,1997-10-01,74,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.7,5.44,100,18782.0,18347
130,156,156,1,1930-07-22,POPLATEK MESICNE,,,1997-02-12,54,Brno - mesto,south Moravia,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721.0,18696
131,157,157,1,1943-07-09,POPLATEK MESICNE,,,1995-06-13,52,Usti nad Orlici,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.5,3.49,108,2564.0,2799
132,158,158,2,1945-07-03,POPLATEK PO OBRATU,classic,1997-12-06,1996-05-11,40,Teplice,north Bohemia,128118,9,16,6,3,8,85.3,9317,6.4,7.07,97,6949.0,6872
133,160,160,1,1942-04-26,POPLATEK TYDNE,,,1997-10-11,64,Zlin,south Moravia,197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484.0,4265
134,161,161,1,1943-10-07,POPLATEK MESICNE,classic,1998-09-14,1997-12-10,34,Chomutov,north Bohemia,125236,28,11,1,4,5,87.7,9675,6.4,7.68,100,5323.0,5190
135,162,162,1,1941-10-17,POPLATEK MESICNE,,,1993-06-15,75,Prerov,north Moravia,138032,67,30,4,2,5,64.6,8819,5.3,5.66,99,4063.0,4505
136,163,163,1,1933-06-12,POPLATEK MESICNE,,,1996-05-14,74,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.7,5.44,100,18782.0,18347
137,164,164,1,1962-04-04,POPLATEK MESICNE,,,1996-07-19,70,Karvina,north Moravia,285387,0,2,8,5,7,89.9,10177,6.6,7.75,81,9878.0,10108
138,165,165,2,1968-11-08,POPLATEK MESICNE,,,1995-09-19,22,Domazlice,west Bohemia,58400,65,16,4,1,6,52.4,8620,1.1,1.25,100,1089.0,1117
139,167,167,1,1978-04-18,POPLATEK TYDNE,junior,1998-11-15,1997-05-15,38,Louny,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.0,8.23,104,2653.0,2822
140,168,168,1,1976-11-05,POPLATEK MESICNE,,,1996-06-25,24,Karlovy Vary,west Bohemia,122603,25,21,6,2,8,80.0,8991,1.3,2.01,128,5198.0,5273
141,169,169,2,1953-09-12,POPLATEK MESICNE,,,1996-03-06,38,Louny,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.0,8.23,104,2653.0,2822
142,171,171,2,1929-06-25,POPLATEK MESICNE,,,1993-02-15,51,Trutnov,east Bohemia,121947,37,28,7,3,11,70.5,8541,2.5,2.97,131,3496.0,3839
143,173,173,1,1918-12-08,POPLATEK MESICNE,,,1996-11-27,21,Tabor,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.5,2.07,123,2299.0,2354
144,174,174,1,1978-11-10,POPLATEK TYDNE,junior,1998-01-22,1997-04-03,10,Praha - vychod,central Bohemia,92084,55,29,4,3,5,46.7,10124,0.5,0.54,141,3810.0,4316
145,175,175,1,1960-07-13,POPLATEK MESICNE,,,1996-01-03,31,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.5,4.2,108,1328.0,1452
146,176,176,1,1929-03-11,POPLATEK MESICNE,,,1993-09-02,4,Kladno,central Bohemia,149893,63,29,6,2,6,67.4,9753,4.6,5.05,109,5244.0,5892
148,178,178,1,1960-12-22,POPLATEK MESICNE,,,1993-06-21,8,Mlada Boleslav,central Bohemia,112065,95,19,7,1,8,69.4,11277,1.2,1.44,127,5179.0,4987
149,179,179,1,1980-12-29,POPLATEK MESICNE,,,1997-11-16,43,Hradec Kralove,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.7,2.5,125,4085.0,3891
150,180,180,1,1982-01-19,POPLATEK MESICNE,,,1995-03-16,73,Opava,north Moravia,182027,17,49,12,2,7,56.4,8746,3.3,3.74,90,4355.0,4433
151,181,181,2,1967-07-06,POPLATEK MESICNE,,,1993-09-06,76,Sumperk,north Moravia,127369,31,32,13,2,7,51.2,8369,4.7,5.88,107,3736.0,2807
152,183,183,2,1978-03-19,POPLATEK MESICNE,,,1996-04-12,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
153,185,185,1,1954-05-30,POPLATEK MESICNE,,,1993-09-19,77,Vsetin,north Moravia,148545,8,35,12,3,4,53.5,8909,4.0,5.56,113,3460.0,3590
154,186,186,1,1961-02-22,POPLATEK MESICNE,,,1994-06-21,46,Nachod,east Bohemia,112709,48,20,7,3,10,73.5,8369,1.7,2.31,117,2854.0,2618
155,187,187,1,1942-08-23,POPLATEK MESICNE,,,1995-11-07,58,Jihlava,south Moravia,109164,98,16,6,1,4,63.6,8757,3.3,3.95,96,2212.0,2471
156,188,188,1,1960-09-02,POPLATEK MESICNE,,,1997-10-22,64,Zlin,south Moravia,197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484.0,4265
157,189,189,1,1919-08-10,POPLATEK MESICNE,,,1997-03-28,11,Praha - zapad,central Bohemia,75637,35,36,9,0,7,36.5,9622,0.4,0.59,154,3475.0,3529
158,190,190,2,1947-10-31,POPLATEK MESICNE,,,1995-03-15,37,Litomerice,north Bohemia,114006,71,26,6,2,9,62.3,9065,4.4,5.39,123,4147.0,4166
159,192,192,1,1971-02-28,POPLATEK MESICNE,classic,1998-08-20,1997-02-11,70,Karvina,north Moravia,285387,0,2,8,5,7,89.9,10177,6.6,7.75,81,9878.0,10108
160,193,193,1,1962-05-01,POPLATEK MESICNE,,,1993-09-04,23,Cheb,west Bohemia,87419,21,11,4,3,9,85.5,8624,1.7,2.66,102,2879.0,3198
